EDGAR name, Filing Date, Link, ID
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:11-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001150/0001398344-20-001150-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001150
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:09-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001151/0001398344-20-001151-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001151
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:08-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001153/0001398344-20-001153-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001153
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:08-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001152/0001398344-20-001152-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001152
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:07-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001155/0001398344-20-001155-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001155
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:07-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001154/0001398344-20-001154-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001154
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:07-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001149/0001398344-20-001149-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001149
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:06-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001148/0001398344-20-001148-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001148
SHELTON FUNDS (0000778206) (Filer),2020-01-22T17:04:05-05:00,https://www.sec.gov/Archives/edgar/data/778206/000139834420001156/0001398344-20-001156-index.htm,urn:tag:sec.gov2008:accession-number=0001398344-20-001156
Voya PRIME RATE TRUST (0000826020) (Filer),2020-01-22T16:43:53-05:00,https://www.sec.gov/Archives/edgar/data/826020/000175272420007877/0001752724-20-007877-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007877
Voya SENIOR INCOME FUND (0001124959) (Filer),2020-01-22T16:43:49-05:00,https://www.sec.gov/Archives/edgar/data/1124959/000175272420007876/0001752724-20-007876-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007876
TRUST FOR PROFESSIONAL MANAGERS (0001141819) (Filer),2020-01-22T16:32:15-05:00,https://www.sec.gov/Archives/edgar/data/1141819/000114554920001855/0001145549-20-001855-index.htm,urn:tag:sec.gov2008:accession-number=0001145549-20-001855
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:51-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007870/0001752724-20-007870-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007870
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:49-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007869/0001752724-20-007869-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007869
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:45-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007868/0001752724-20-007868-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007868
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:42-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007867/0001752724-20-007867-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007867
Stone Harbor Emerging Markets Income Fund (0001501103) (Filer),2020-01-22T16:08:39-05:00,https://www.sec.gov/Archives/edgar/data/1501103/000175272420007866/0001752724-20-007866-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007866
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:35-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007865/0001752724-20-007865-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007865
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:32-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007864/0001752724-20-007864-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007864
Stone Harbor Emerging Markets Total Income Fund (0001551040) (Filer),2020-01-22T16:08:30-05:00,https://www.sec.gov/Archives/edgar/data/1551040/000175272420007863/0001752724-20-007863-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007863
Stone Harbor Investment Funds (0001391673) (Filer),2020-01-22T16:08:27-05:00,https://www.sec.gov/Archives/edgar/data/1391673/000175272420007862/0001752724-20-007862-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007862
Eaton Vance Floating-Rate Income Trust (0001288992) (Filer),2020-01-22T13:30:54-05:00,https://www.sec.gov/Archives/edgar/data/1288992/000175272420007713/0001752724-20-007713-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007713
EATON VANCE NEW YORK MUNICIPAL INCOME TRUST (0001074685) (Filer),2020-01-22T13:30:53-05:00,https://www.sec.gov/Archives/edgar/data/1074685/000175272420007714/0001752724-20-007714-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007714
EATON VANCE GROWTH TRUST (0000102816) (Filer),2020-01-22T13:30:48-05:00,https://www.sec.gov/Archives/edgar/data/102816/000175272420007712/0001752724-20-007712-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007712
