Title, Summary, Date, Link, 
UK picks week for 2071 tap,The UK Debt Management Office has chosen the week for its fifth and final syndication of its 2019/2020 financial year.,17 Jan 2020,https://www.globalcapital.com/article/b1jy742b7qf78d/uk-picks-week-for-2071-tap
Title, Summary, Date, Link, 
UK picks week for 2071 tap,The UK Debt Management Office has chosen the week for its fifth and final syndication of its 2019/2020 financial year.,17 Jan 2020,https://www.globalcapital.com/article/b1jy742b7qf78d/uk-picks-week-for-2071-tap
Title, Summary, Date, Link, 
UK picks week for 2071 tap,The UK Debt Management Office has chosen the week for its fifth and final syndication of its 2019/2020 financial year.,17 Jan 2020,https://www.globalcapital.com/article/b1jy742b7qf78d/uk-picks-week-for-2071-tap
Nationwide targets sterling senior amid welcoming conditions,Nationwide Building Society launched a three year preferred senior bond in sterling on Friday with the trade’s success coming as 'no surprise' amid a favourable backdrop in the currency.,17 Jan 2020,https://www.globalcapital.com/article/b1jy748f9xzztq/nationwide-targets-sterling-senior-amid-welcoming-conditions
LBBW mandates leads for first green sterling non-preferred,Landesbank Baden-Württemberg (LBBW) is set to become the first issuer of green non-preferred senior paper in the sterling bond market as well as the first financial institution to include sustainability ratings in a new deal mandate.,17 Jan 2020,https://www.globalcapital.com/article/b1jy6pqkcwhnby/lbbw-mandates-leads-for-first-green-sterling-non-preferred
Calisen presses ahead with first UK IPO of the year,Calisen Group the KKR-backed operator of smart metres has confirmed its intention to float on the London Stock Exchange formally launching the first major UK IPO of the year.,17 Jan 2020,https://www.globalcapital.com/article/b1jy74knbd9xvr/calisen-presses-ahead-with-first-uk-ipo-of-the-year
China market round-up: Q4 GDP December data stabilise PBoC injects liquidity ahead of Lunar New Year DBS becomes bond settlement agent,In this round-up China’s economy grows at the slowest rate in nearly three decades the central bank injects a shot of liquidity into the market through the medium-term lending facility and reverse repo and DBS Bank (China) receives a bond settlement agent licence in the interbank market.,17 Jan 2020,https://www.globalcapital.com/article/b1jy4ms9nzwl6r/china-market-roundup-q4-gdp-december-data-stabilise-pboc-injects-liquidity-ahead-of-lunar-new-year-dbs-becomes-bond-settlement-agent
China policy round-up: Top anti-corruption regulator focuses on local government debt Shanghai welcomes more tech firms and MNCs Guangdong to launch futures exchange,In this round-up Chinese premier Li Keqiang encourages local government bond issuance the Central Commission for Discipline Inspection plans to investigate corruption around local government debt and Shanghai is working to grow the Star board and attract more foreign investment into the city.,17 Jan 2020,https://www.globalcapital.com/article/b1jy4kg1stfd2n/china-policy-roundup-top-anticorruption-regulator-focuses-on-local-government-debt-shanghai-welcomes-more-tech-firms-and-mncs-guangdong-to-launch-futures-exchange
Medco Energi Bayan Resources power up dollar bonds,Indonesia's Medco Energi Internasional and Bayan Resources raised more than $1bn between them from ultra-tight bonds on Thursday.,17 Jan 2020,https://www.globalcapital.com/article/b1jy4bdjfxc279/medco-energi-bayan-resources-power-up-dollar-bonds
Bonds news in brief: Evergrande ZhengTong Auto LGFVs raise funds,Four Chinese borrowers hit the dollar bond market on Thursday competing with supply from India Indonesia and the Philippines.,17 Jan 2020,https://www.globalcapital.com/article/b1jy41f3pt0ghx/bonds-news-in-brief-evergrande-zhengtong-auto-lgfvs-raise-funds
Central Retail preps record $2.4bn Thai IPO,Thailand’s Central Retail Corp is on track to launch the country’s largest IPO with bookbuilding for the deal set to open on January 20 according to a source familiar with the matter.,17 Jan 2020,https://www.globalcapital.com/article/b1jy479hsylzg6/central-retail-preps-record-24bn-thai-ipo
Trade war diaries: phase one deal appeals to the financial industry,In the phase one trade deal signed on Wednesday between the US and China the majority of the agreements focusing on the financial sector are simply reiterations and elaborations of what the Mainland government has already said. But there are now some concrete deadlines in place to open up the domestic market further to foreign firms.,17 Jan 2020,https://www.globalcapital.com/article/b1jy42nzdlp10s/trade-war-diaries-phase-one-deal-appeals-to-the-financial-industry
Jollibee's serves 'blowout' inaugural bond,Jollibee Foods Corp the owner of the eponymous fast food chain wowed investors on Thursday with a debut $600m bond that beat the Philippine company’s targets.,17 Jan 2020,https://www.globalcapital.com/article/b1jy4c61t1j7n5/jollibee39s-serves-39blowout39-inaugural-bond
